Sub01;Sub02;Sub03;Sub04;Sub05;Sub06;Sub07;Sub08;Sub09;Sub10;Sub11;Sub12;Sub13;Sub14;Sub15
-341.438084687057;-849.509827042709;7085.01007835056;804.223504818127;1395.96915220686;7809.03458529437;1800.39504486612;2229.70633045616;3681.11041419961;1776.31312168919;2259.40394118146;3610.15871966315;-323.167707710138;-739.42299950356;7199.00401557395
-343.364373001545;-850.64995710663;7083.72439370213;805.773273125948;1397.13975330107;7808.44810295807;1797.2434340977;2228.86341341464;3681.17040640114;1776.63035265429;2261.44295244395;3611.44271138147;-322.896494248406;-739.790363447775;7198.69625828175
-341.175079031965;-850.203796431968;7084.66955480667;806.722232918178;1401.34996237512;7811.25245816229;1799.21609950048;2229.70634713033;3680.14968360381;1775.39582540824;2260.53426305282;3610.17719833579;-325.60734579042;-741.79543249495;7196.70506563434
-340.629644099792;-849.05777654329;7085.74002079996;804.840068176845;1399.65401857551;7810.61732761563;1800.91196376783;2229.4492675777;3680.79031785005;1776.34268704845;2260.33902947759;3611.01070183076;-326.168105795886;-743.046044432036;7196.32857736361
-341.3067569944;-848.100777231487;7085.19317547787;801.069092990504;1393.66971519399;7805.4927826836;1800.41284809164;2228.14883083113;3680.59718912768;1777.69422225818;2261.03943557059;3613.72971730038;-326.033816319024;-744.524537946079;7194.6619579933
-340.002642774764;-848.122328144066;7084.61482109196;798.487084712904;1390.66025255985;7803.50397313748;1801.23931142921;2229.21986014772;3680.37680673574;1776.88922800463;2260.75926778046;3613.96534198742;-327.71684510157;-744.38517706719;7193.61462865036
-343.121933614667;-849.893864109667;7084.92785369595;794.680207207335;1386.40569250138;7800.71050370418;1801.23985413176;2228.53744331131;3681.10247218313;1777.78053510278;2261.6557357265;3613.49589150738;-327.046109881885;-745.348021254609;7192.6315409553
-342.248922650198;-847.472808114996;7087.50719188594;791.263322634306;1384.79207782564;7798.02107630001;1799.8888507467;2228.25037135768;3680.02730932321;1778.13640193686;2260.59420871351;3613.54161644375;-326.099323046196;-744.641523456972;7194.09777723983
-338.562367546556;-844.927392996013;7089.43902753085;792.550439258523;1385.01579023719;7796.80374791692;1799.14026365944;2229.43984740553;3680.70132274468;1778.09126134638;2261.22379244801;3614.08004763098;-324.02135382365;-741.693830525041;7198.18870111599
-339.362073919367;-845.688848119864;7088.53985200641;794.028180617938;1385.84104333523;7796.5892629361;1798.78067737693;2227.2003740776;3677.79721030689;1778.84675935516;2262.07916961108;3615.26709178773;-325.268679355425;-743.530280799974;7196.28166777703
