signal, time
804.0661944582916, 1669210091.4991126
-1035.695922362223, 1669210092.4991424
1219.324209802651, 1669210093.4991717
2919.2210080301406, 1669210094.4992015
503.781002671998, 1669210095.4992313
-465.92542327039325, 1669210096.499261
2931.265675060507, 1669210097.4992902
5243.868139549813, 1669210098.4993198
3604.306998470615, 1669210099.49935
1263.2012657992389, 1669210100.4993796
2260.6640893068893, 1669210101.4994092
4697.478223896878, 1669210102.4994388
4575.342338557114, 1669210103.4994683
3678.0837096421865, 1669210104.4995487
5135.025052150562, 1669210105.4995792
5903.865658111857, 1669210106.499609
2995.4637336331, 1669210107.4996386
414.8710825821892, 1669210108.499668
1149.358161823266, 1669210109.4996974
1436.0989353372513, 1669210110.4997268
-1660.4149781601234, 1669210111.4997568
-3809.075471602919, 1669210112.4997861
-2467.7294284519244, 1669210113.4998162
-1726.145576799771, 1669210114.499846
-3045.4367011993018, 1669210115.499875
-3556.6859518878323, 1669210116.499905
-1640.035747904013, 1669210117.4999342
-460.4926430936484, 1669210118.4999638
-2204.977328647509, 1669210119.4999933
-3190.224613372432, 1669210120.500023
-1002.4084915484186, 1669210121.5000522
1212.7628374668986, 1669210122.5000823
-622.8509348383884, 1669210123.5001118
-2867.813543018701, 1669210124.5001411
77.04835681332892, 1669210125.5001707
4408.649589403495, 1669210126.500204
3593.8706249880206, 1669210127.5002334
-426.9673315932756, 1669210128.500263
-1085.1161940131424, 1669210129.5002923
-116.47780523558345, 1669210130.500322
-2882.148895059197, 1669210131.5003517
-5674.619980140366, 1669210132.500381
-4067.901590662914, 1669210133.50041
-2771.305228547708, 1669210134.5004396
-4524.367709056336, 1669210135.5004685
-4475.508488903124, 1669210136.5004978
-715.3177967483102, 1669210137.5005274
2061.372010482698, 1669210138.500557
312.4276457230527, 1669210139.5005863
-2157.4235833903995, 1669210140.5006156
-502.8844827430146, 1669210141.5006456
2228.443166822929, 1669210142.5006747
1440.2750201133454, 1669210143.5007045
493.89118975395206, 1669210144.5007339
3138.586184050868, 1669210145.5007634
5427.07402807054, 1669210146.5007927
4370.030318322009, 1669210147.5008223
4493.398968641598, 1669210148.5008516
7666.145133853961, 1669210149.500881
7404.6939753038, 1669210150.5009103
1709.9113826721557, 1669210151.50094
-1396.316037239983, 1669210152.50097
934.7154698031396, 1669210153.5009997
1897.9543490806088, 1669210154.5010428
-623.2826740685537, 1669210155.5010726
-1257.0185511440602, 1669210156.5011024
1547.0755802155818, 1669210157.501132
4047.334114582466, 1669210158.5011618
5728.677190745363, 1669210159.5011914
9985.917254619622, 1669210160.5012207
19229.672828745577, 1669210161.5012505
30472.79705881437, 1669210162.50128
38732.603587273305, 1669210163.5013096
44448.631710688096, 1669210164.5013394
48714.80288236675, 1669210165.5013697
47088.39377496942, 1669210166.5013993
36110.52077997723, 1669210167.5014288
22506.18070312126, 1669210168.5014582
14118.693608321108, 1669210169.5014882
5636.961182760528, 1669210170.5015173
-8464.766015873958, 1669210171.5015473
-20865.632998820376, 1669210172.5015767
-27737.31992595296, 1669210173.5016062
-35746.02530458884, 1669210174.5016356
-46554.32246534051, 1669210175.5016654
-54023.219986790325, 1669210176.501695
-55850.32384764393, 1669210177.5017245
-57409.07074948639, 1669210178.5017538
-61531.57691692124, 1669210179.5017848
-63294.48108696233, 1669210180.5018146
-59671.71898582528, 1669210181.501844
-54690.55355077468, 1669210182.5018737
-50238.27327169762, 1669210183.501903
-43060.43731927419, 1669210184.5019324
-32735.17775112448, 1669210185.501962
-23793.28530207275, 1669210186.5019917
-18350.00287514532, 1669210187.502021
-11849.113986732951, 1669210188.5020506
-2512.6863955836543, 1669210189.5020802
5525.82439552149, 1669210190.50211
9713.012181375618, 1669210191.502139
13111.027830997768, 1669210192.5021687
18900.67776250243, 1669210193.502198
23692.63087690395, 1669210194.5022275
24186.94446085923, 1669210195.5022578
23810.47324587072, 1669210196.5022876
26359.654621950165, 1669210197.502317
29198.583334520077, 1669210198.5023468
28264.200712632766, 1669210199.5023766
26290.789700141093, 1669210200.5024061
27541.214730366293, 1669210201.5024357
28585.806906571568, 1669210202.5024652
24981.43005215792, 1669210203.5024948
20186.23894788097, 1669210204.5025244
18915.27679049734, 1669210205.5025542
18531.56335347636, 1669210206.5025833
15991.024104479286, 1669210207.5026133
14903.920933211684, 1669210208.5026426
16420.28274242436, 1669210209.5026724
15811.21790528427, 1669210210.5027018
11901.33798337502, 1669210211.5027313
8582.199335109044, 1669210212.5027606
7740.495946497821, 1669210213.502791
5955.692909992004, 1669210214.5028203
1596.3119662802742, 1669210215.5028498
-896.5224165055242, 1669210216.5028799
337.1782114779889, 1669210217.5029097
685.6389496126721, 1669210218.5029395
-2315.7695817752906, 1669210219.5029688
-4659.070619684371, 1669210220.5029986
-3764.345338444162, 1669210221.5030277
-3604.5896989350326, 1669210222.5030575
-5407.602276872264, 1669210223.5030868
-4436.762403152385, 1669210224.5031166
-309.5977916253362, 1669210225.503146
2396.0532194993825, 1669210226.5031755
1088.305757665922, 1669210227.5032048
-1102.6907095567767, 1669210228.5032344
-764.4561167898377, 1669210229.5032637
-563.1855296035598, 1669210230.5032933
-3284.337884035312, 1669210231.5033226
-6069.4227759913465, 1669210232.5033522
-4940.238981382842, 1669210233.5033822
-2065.7052664525527, 1669210234.5034118
-2877.9391027810125, 1669210235.5034413
-5495.93723041217, 1669210236.503471
-4595.738407198631, 1669210237.5035
-2866.8102518294577, 1669210238.5035293
-4145.828784977932, 1669210239.5035586
-5460.105479802662, 1669210240.5035877
-3827.123609345166, 1669210241.5036173
-1971.9319763322733, 1669210242.5036466
-3233.7988987865824, 1669210243.5036764
-4633.754956778384, 1669210244.5037055
-1947.6952474557172, 1669210245.5037348
1610.793506309701, 1669210246.5037642
1222.239079928213, 1669210247.5037937
-861.8862858807657, 1669210248.5038228
-388.4547803086624, 1669210249.5038524
-328.9767758939362, 1669210250.5038817
-2192.1440814330845, 1669210251.5039113
875.0558632221923, 1669210252.5039406
7371.858171998394, 1669210253.50397
8071.268909672662, 1669210254.503999
3302.355294260658, 1669210255.504028
-94.83547035187578, 1669210256.5040586
-810.080462373618, 1669210257.5040886
-3071.54576038831, 1669210258.5041177
-7435.785556535651, 1669210259.504147
-8538.643943295137, 1669210260.5041764
-4614.95590452708, 1669210261.504206
-1216.753963869735, 1669210262.504235
-1533.7369790843395, 1669210263.504265
-1321.4559301411543, 1669210264.5042942
2513.6742886538987, 1669210265.5043235
4891.594429393119, 1669210266.5043533
1217.4232166592897, 1669210267.5043826
-2593.0253832324806, 1669210268.5044122
-1045.8127812437265, 1669210269.5044415
730.9063434342577, 1669210270.5044713
-2050.307492642483, 1669210271.5045006
-4490.914004626402, 1669210272.5045302
-2225.6487094673157, 1669210273.5045598
-278.4420556263671, 1669210274.504589
-1449.7423979900705, 1669210275.5046186
-328.7795307574222, 1669210276.5046482
4512.840751105093, 1669210277.5046773
6745.110614481895, 1669210278.5047069
3933.698133021734, 1669210279.5047364
429.916108322574, 1669210280.5047657
173.33497240857628, 1669210281.504795
994.3690794399602, 1669210282.5048254
-1265.539698630094, 1669210283.5048552
-3056.2227261972444, 1669210284.5048847
-231.65425755246227, 1669210285.5049145
2132.296857021985, 1669210286.504944
-497.6286528637629, 1669210287.5049734
-3025.986772740184, 1669210288.5050235
-1072.553413772259, 1669210289.505055
1162.2284469675596, 1669210290.5050852
-452.3295360735887, 1669210291.5051146
-2935.8485628683047, 1669210292.5051444
-2071.0720581873597, 1669210293.505174
-696.7357674134553, 1669210294.5052035
-2061.509247651351, 1669210295.5052326
-2756.171455825228, 1669210296.5052624
-690.3832651956486, 1669210297.5052917
931.6129636415268, 1669210298.5053213
209.18947532409447, 1669210299.5053508
-54.71078516528007, 1669210300.5053804
1084.9474463293711, 1669210301.5054097
415.72551835142536, 1669210302.5054395
-2085.544328098392, 1669210303.5054688
-2280.7449414393664, 1669210304.5054984
905.3900853283704, 1669210305.505528
3365.242457732704, 1669210306.5055575
1540.5730561330352, 1669210307.5055869
-1377.3053473909488, 1669210308.5056164
-583.9963759739492, 1669210309.5056458
945.281798827666, 1669210310.5056756
-24.39336652887493, 1669210311.505706
-420.1451310480046, 1669210312.5057352
1334.0118041281485, 1669210313.505765
2977.9426767963178, 1669210314.5057943
2645.1599239119155, 1669210315.5058239
1817.234751738924, 1669210316.5059085
2717.996047298688, 1669210317.505939
3387.2645294583485, 1669210318.5059695
1695.469773376762, 1669210319.505999
-697.4293916129769, 1669210320.5060287
-68.28053494899359, 1669210321.5060582
2278.9766819533365, 1669210322.5060883
883.3896928540833, 1669210323.5061178
-1415.0564453710936, 1669210324.5061476
614.6862825663059, 1669210325.5061774
2451.293178345471, 1669210326.5062075
-348.6272137592708, 1669210327.5062373
-2394.114371903758, 1669210328.5062666
1119.8421984726, 1669210329.5062962
4301.915300728715, 1669210330.5063255
1922.0035187512003, 1669210331.506355
-911.5503095897934, 1669210332.5063844
-194.59192042163, 1669210333.5064135
506.4577582753412, 1669210334.5064433
-2147.755701034747, 1669210335.5064723
-4097.208357026555, 1669210336.506502
-1465.1245110796913, 1669210337.5065315
773.7322716901302, 1669210338.5065613
-1756.2938580217558, 1669210339.506591
-4734.672142476753, 1669210340.5066206
-3724.1763660411143, 1669210341.5066502
-2041.301353342276, 1669210342.50668
-3073.13826423907, 1669210343.5067096
-3067.750746442249, 1669210344.506739
565.5348351484793, 1669210345.5067687
2809.0391062632234, 1669210346.506798
1597.884560288542, 1669210347.5068278
2022.3886985794616, 1669210348.5068574
4382.035474234955, 1669210349.506887
4226.390185674732, 1669210350.5069163
1650.5197804179918, 1669210351.506946
643.9179159594828, 1669210352.5069754
1874.6293683536824, 1669210353.5070055
1537.0671530937598, 1669210354.5070355
-396.35693180655215, 1669210355.507065
-1419.67031031382, 1669210356.5070946
-1531.9817908564482, 1669210357.507124
-2292.5500794331847, 1669210358.507154
-4588.812752035458, 1669210359.5071833
-5935.769129303374, 1669210360.5072129
-4999.986490850783, 1669210361.5072424
-4263.759333328854, 1669210362.5072722
-3826.303731348633, 1669210363.5073018
-1414.3328931955823, 1669210364.507332
2752.770113413121, 1669210365.507362
5830.156650462149, 1669210366.507391
5574.16302905535, 1669210367.5074203
5008.93638909055, 1669210368.50745
6729.583455758083, 1669210369.5074792
6226.765158773435, 1669210370.507509
